The system temp is: 4.14293 
The final system temp is: 2.38868 
Fx(N),            Fy(N),            Fz(N)
1.18202e-10,    -5.0852e-11,    1.18202e-10
-3.4202e-11,    3.34698e-11,    -3.4202e-11
5.15595e-11,    2.2753e-10,    5.15595e-11
-2.25905e-11,    -9.61279e-11,    -2.25905e-11
1.13783e-10,    1.80632e-10,    1.13783e-10
-8.89207e-11,    -4.61767e-11,    -8.89207e-11
-6.67793e-11,    -4.0483e-11,    -6.67793e-11
-1.08798e-10,    -4.40684e-11,    -1.08798e-10
-2.27166e-11,    1.02224e-10,    -2.27166e-11
2.53175e-11,    -6.03615e-11,    2.53175e-11
4.13981e-10,    -2.74386e-10,    4.13981e-10
5.45672e-11,    8.7868e-11,    5.45672e-11
1.20769e-11,    5.39221e-12,    1.20769e-11
-1.63902e-10,    1.53264e-10,    -1.63902e-10
6.89469e-11,    1.29752e-10,    6.89469e-11
-1.80898e-11,    7.75112e-11,    -1.80898e-11
-3.92591e-11,    2.25223e-11,    -3.92591e-11
-3.21657e-10,    2.81857e-10,    -3.21657e-10
5.12721e-11,    -2.0377e-11,    5.12721e-11
1.46937e-10,    -8.39707e-11,    1.46937e-10
3.28388e-11,    2.89168e-11,    3.28388e-11
1.98168e-11,    1.59206e-10,    1.98168e-11
5.11485e-11,    -3.94565e-11,    5.11485e-11
1.72278e-10,    5.06335e-11,    1.72278e-10
-1.27698e-10,    -2.63956e-10,    -1.27698e-10
-2.93884e-11,    1.11344e-11,    -2.93884e-11
1.3914e-13,    9.20192e-11,    1.3914e-13
-5.81768e-11,    -4.75943e-11,    -5.81768e-11
3.52392e-11,    -3.25371e-10,    3.52392e-11
-1.7148e-10,    -4.91149e-10,    -1.7148e-10
-6.00943e-14,    -3.84928e-10,    -6.00943e-14
-7.26574e-11,    3.73371e-11,    -7.26574e-11
3.33439e-11,    6.82972e-11,    3.33439e-11
-1.71812e-10,    4.23433e-11,    -1.71812e-10
-3.80762e-11,    -1.40824e-11,    -3.80762e-11
-1.16452e-10,    2.44832e-11,    -1.16452e-10
5.08853e-11,    5.60011e-11,    5.08853e-11
-2.35854e-11,    -9.59274e-11,    -2.35854e-11
-1.72751e-10,    -5.64844e-11,    -1.72751e-10
1.22513e-10,    1.47054e-10,    1.22513e-10
-3.04261e-11,    -3.28779e-12,    -3.04261e-11
3.63081e-11,    4.16941e-11,    3.63081e-11
-3.52994e-11,    -8.80852e-11,    -3.52994e-11
-7.68517e-11,    -1.96322e-10,    -7.68517e-11
-2.61866e-11,    -2.30029e-11,    -2.61866e-11
-1.43187e-10,    2.51703e-10,    -1.43187e-10
9.31814e-11,    -4.76045e-11,    9.31814e-11
1.11935e-10,    3.72741e-11,    1.11935e-10
1.11794e-10,    6.75143e-11,    1.11794e-10
1.31943e-10,    -1.82853e-10,    1.31943e-10
-1.6325e-11,    2.5448e-11,    -1.6325e-11
-2.42498e-10,    8.40531e-11,    -2.42498e-10
3.1596e-12,    2.62422e-10,    3.1596e-12
1.18146e-10,    -3.83398e-11,    1.18146e-10
9.95486e-11,    7.44188e-11,    9.95486e-11
-6.12825e-11,    -1.78446e-10,    -6.12825e-11
1.81664e-10,    1.03909e-10,    1.81664e-10
5.70894e-11,    4.5556e-11,    5.70894e-11
9.51403e-11,    1.36016e-10,    9.51403e-11
-3.11408e-10,    1.89285e-11,    -3.11408e-10
-1.19017e-11,    -1.42046e-11,    -1.19017e-11
1.94752e-10,    -3.04355e-10,    1.94752e-10
3.51087e-11,    -2.11301e-11,    3.51087e-11
4.2767e-11,    -7.92423e-11,    4.2767e-11
-3.27713e-11,    6.1809e-11,    -3.27713e-11
-9.1491e-11,    -1.72392e-10,    -9.1491e-11
-2.84664e-12,    -6.72493e-11,    -2.84664e-12
-6.64204e-11,    -8.07548e-11,    -6.64204e-11
9.10298e-11,    -1.21873e-10,    9.10298e-11
-1.61725e-10,    2.4562e-10,    -1.61725e-10
5.42699e-11,    -1.45581e-11,    5.42699e-11
-7.27467e-12,    8.53195e-11,    -7.27467e-12
-8.35544e-11,    2.30255e-10,    -8.35544e-11
1.30953e-10,    1.69136e-10,    1.30953e-10
2.53696e-11,    -6.04202e-11,    2.53696e-11
3.35262e-11,    4.83438e-11,    3.35262e-11
4.89265e-11,    4.269e-11,    4.89265e-11
2.06122e-10,    -6.49382e-11,    2.06122e-10
2.23911e-10,    8.33975e-11,    2.23911e-10
-1.55457e-10,    2.26081e-11,    -1.55457e-10
-1.06329e-10,    -1.4865e-10,    -1.06329e-10
-2.5651e-11,    -7.14108e-11,    -2.5651e-11
-1.63779e-11,    -7.24653e-12,    -1.63779e-11
8.54502e-10,    4.34941e-10,    8.54502e-10
-1.51067e-12,    -3.81464e-11,    -1.51067e-12
1.5391e-11,    -1.51408e-11,    1.5391e-11
-1.66641e-10,    2.22222e-10,    -1.66641e-10
1.57571e-11,    -2.6999e-11,    1.57571e-11
9.8228e-11,    -1.73089e-10,    9.8228e-11
-2.33277e-11,    2.44027e-10,    -2.33277e-11
-2.21231e-11,    8.80604e-14,    -2.21231e-11
1.94981e-10,    9.78059e-11,    1.94981e-10
-1.23572e-10,    -5.17661e-11,    -1.23572e-10
-1.94535e-10,    -5.19996e-11,    -1.94535e-10
3.96365e-11,    4.05273e-11,    3.96365e-11
2.11692e-10,    -3.58527e-10,    2.11692e-10
5.33641e-11,    1.52017e-10,    5.33641e-11
6.14953e-11,    -9.4454e-11,    6.14953e-11
5.57612e-12,    -6.02726e-11,    5.57612e-12
8.88224e-11,    1.87893e-10,    8.88224e-11
-1.06566e-09,    -3.44195e-10,    -1.06566e-09
-2.00186e-10,    -2.93948e-10,    -2.00186e-10
-1.83214e-10,    5.15735e-11,    -1.83214e-10
-2.59666e-10,    -4.02805e-10,    -2.59666e-10
2.7749e-11,    6.7257e-11,    2.7749e-11
-2.47725e-10,    -1.93001e-10,    -2.47725e-10
-2.31063e-10,    5.5038e-11,    -2.31063e-10
-4.15283e-11,    -1.17519e-10,    -4.15283e-11
1.41441e-10,    1.15159e-10,    1.41441e-10
1.99002e-10,    -4.72531e-10,    1.99002e-10
2.16503e-10,    2.79414e-10,    2.16503e-10
7.33389e-11,    -1.65234e-10,    7.33389e-11
7.46575e-12,    -1.72481e-12,    7.46575e-12
1.06498e-10,    -1.40017e-11,    1.06498e-10
-7.92748e-11,    -2.05439e-10,    -7.92748e-11
-1.8759e-12,    -4.01968e-11,    -1.8759e-12
9.97834e-11,    -1.7999e-10,    9.97834e-11
